pmcid,title,journal,year,doi,url,sentence,accessions,addgene_ids
PMC11669485,CryptKeeper: a negative design tool for reducing unintentional gene expression in bacteria.,Synth Biol (Oxf),2024,10.1093/synbio/ysae018,https://europepmc.org/article/PMC/PMC11669485,(c) Predicted translational burden of a Dengue virus infectious clone before and after redesign compared to the predicted burden of the mTagBFP ORF from BioBrick K3174006.,K3174006,
PMC11669485,CryptKeeper: a negative design tool for reducing unintentional gene expression in bacteria.,Synth Biol (Oxf),2024,10.1093/synbio/ysae018,https://europepmc.org/article/PMC/PMC11669485,"(b) CryptKeeper burden predictions for the mTagBFP ORF from BioBrick K3174006, the cryptic ORF of mdr1a before and after mutating its start codon, and the cryptic ORF of SCN1A before and after introducing an engineered intron.",K3174006,
PMC11669485,CryptKeeper: a negative design tool for reducing unintentional gene expression in bacteria.,Synth Biol (Oxf),2024,10.1093/synbio/ysae018,https://europepmc.org/article/PMC/PMC11669485,"(d) Predicted total burden of plasmid pSB1C-K3174006, the complete mdr1a cDNA before and after mutating the cryptic ORF start codon, and the full plasmid encoding SCN1A before and after introducing the engineered intron.",K3174006,
PMC12283748,A CRISPR/Cas9-based system using dual-sgRNAs for efficient gene deletion in &lt;i&gt;Mycobacterium abscessus&lt;/i&gt;.,Front Microbiol,2025,10.3389/fmicb.2025.1608274,https://europepmc.org/article/PMC/PMC12283748,"For targeted gene deletion, we developed a dual-sgRNA system based on pKM461 (Addgene #108320).",,108320
PMC12435782,Topo IV is required to allow replisomes to converge and complete replication on the chromosome.,PLoS Genet,2025,10.1371/journal.pgen.1011857,https://europepmc.org/article/PMC/PMC12435782,CL4079 (BW25113 sbcD ::FRT-mini-kan topA2103 ) containing a single base pair deletion in topA at nucleotide 2103 was isolated as a spontaneous secondary mutation that resulted in plasmid instability in laboratory stocks of BW25113 sbcD ::FRT-mini-kan.,BW25113,
PMC12435782,Topo IV is required to allow replisomes to converge and complete replication on the chromosome.,PLoS Genet,2025,10.1371/journal.pgen.1011857,https://europepmc.org/article/PMC/PMC12435782,"To construct a BW25113 topA2103 mutant, the kanamycin-resistance cassette from the sbcD deletion mutant was first removed using FLP recombinase expression from the pCP20 plasmid as described previously [ 103 , 104 ].",BW25113,
PMC12435782,Topo IV is required to allow replisomes to converge and complete replication on the chromosome.,PLoS Genet,2025,10.1371/journal.pgen.1011857,https://europepmc.org/article/PMC/PMC12435782,topA2103 was then linked to a kanamycin-resistance cassette approximately 25 kb away by P1 transduction of ymjA ::Kan from JW1288 and selecting for resistance to kanamycin and plasmid instability to generate CL5110 (BW25113 sbcD ::FRT topA2103 ymjA ::FRT-mini-kan).,BW25113,
PMC12174320,Simple and robust in vivo engineering of plasmid DNA at any copy number in Escherichia coli.,Commun Biol,2025,10.1038/s42003-025-08361-9,https://europepmc.org/article/PMC/PMC12174320,"To this end, we first build a collection of 36 plasmids with different copy numbers, different promoters, and different post-transcriptional control elements: the low (RK2), low-medium (p15A), and medium (pBR322-ROP) copy number plasmids combined with four different promoters: the strong constitutive J23100 promoter and three different inducible promoters: PrhaBAD, Ptrc, and PT7 CONS (an improved version of the T7 promoter 6 ).",J23100,
PMC12174320,Simple and robust in vivo engineering of plasmid DNA at any copy number in Escherichia coli.,Commun Biol,2025,10.1038/s42003-025-08361-9,https://europepmc.org/article/PMC/PMC12174320,"( e ) galK was recombineered into plasmids with the J23100 promoter and a highly translated TIR, resulting in no colonies when plated on selective media with ( f ) low and only a few colonies with ( g ) medium copy number plasmids.",J23100,
PMC12174320,Simple and robust in vivo engineering of plasmid DNA at any copy number in Escherichia coli.,Commun Biol,2025,10.1038/s42003-025-08361-9,https://europepmc.org/article/PMC/PMC12174320,h galK was also recombineered into plasmids with the J23100 promoter and a TIR sequence library resulting in many colonies when plated on selective media with both ( i ) low and ( j ) medium copy number plasmids.,J23100,
